機能,区分一,区分二,区分三,正常/異常,テスト技法,入力,操作方法,期待値,自動テスト,担当者名,備考
接続機能,FTP接続,基本接続,接続確立,正常系,同値分割,"Mode=ftp / 正しいHost / Port=21 / 正しいUsername・Password / Watch.Pathに転送対象の.txtを1件置く / Direction=put","アプリを起動する（dotnet run またはexe実行）","FTPサーバに接続が確立し、ログに接続成功とアップロード開始が出力される。リモートにファイルが作成される。終了コード0。",○,,"接続成功は正常系の代表値"
接続機能,FTP接続,基本接続,ホスト名誤り,異常系,同値分割,"存在しないHost名（例 no-such-host.invalid）を指定","put方向で起動する","名前解決/接続に失敗し、リトライ（指数バックオフ）後に最終エラーをログ出力。終了コード1。ローカルの対象ファイルは削除されず残る。",○,,"無効な接続先の同値クラス"
接続機能,FTP接続,基本接続,IPアドレス指定,正常系,同値分割,"Hostにホスト名ではなくIPアドレスを直接指定","put方向で起動する","IP指定でも接続に成功し、転送が開始される。",,,"実機確認（IP到達性が必要）"
接続機能,FTP接続,基本接続,ポート番号誤り,異常系,境界値分析,"閉じている/誤ったPort（例9999）を指定","put方向で起動する","接続に失敗し、リトライ後に最終エラー。終了コード1。ローカルファイルは保持される。",○,,"到達不能ポートの代表値"
接続機能,FTP接続,認証,パスワード正常,正常系,同値分割,"正しいUsername・Password","put方向で起動する","認証に成功し転送が開始される。",○,,
接続機能,FTP接続,認証,パスワード誤り,異常系,同値分割,"正しいUsername・誤ったPassword","put方向で起動する","認証エラーが発生し、これはリトライ非対象のため即座に失敗。終了コード1。ローカルファイルは保持される。",○,,"認証失敗はリトライしない"
接続機能,FTP接続,認証,ユーザー名誤り,異常系,同値分割,"存在しないUsername","put方向で起動する","認証エラーで失敗。終了コード1。",○,,
接続機能,FTP接続,認証,Password未設定,異常系,デシジョンテーブル,"Mode=ftp かつ Passwordを空文字/未設定","アプリを起動する","起動時バリデーション（TransferOptionsValidation）でエラーを表示し、転送を行わず終了コード1で終了する。",○,,"FTPはPassword必須の判定"
接続機能,FTP接続,タイムアウト,接続タイムアウト,異常系,境界値分析,"無応答のHost / TimeoutSeconds=5","put方向で起動する","約5秒で接続タイムアウトとなり、リトライ後に失敗する。極端に長く待たされない。",,,"実機確認（無応答先の用意が必要）"
接続機能,FTP接続,セキュリティ,平文パスワード警告,正常系,同値分割,"Mode=ftp / Password設定あり","アプリを起動する","起動時に『FTPは平文でパスワードを送信する。SFTPを推奨』という警告を表示し、処理は継続する（エラーではない）。",○,,
接続機能,SFTP接続,パスワード認証,正常,正常系,同値分割,"Mode=sftp / Port=22 / 正しいUsername・Password","put方向で起動する","SFTP接続に成功し転送が開始される。ログにSFTPセッション確立（暗号方式等）が出る。",○,,"要Docker（自動テストはDocker上のSFTPで実施）"
接続機能,SFTP接続,パスワード認証,誤り,異常系,同値分割,"Mode=sftp / 誤ったPassword","put方向で起動する","認証エラーで失敗。終了コード1。",○,,"要Docker"
接続機能,SFTP接続,鍵認証,正常,正常系,同値分割,"Mode=sftp / 正しいPrivateKeyPath / Port=22","put方向で起動する","秘密鍵による認証で接続に成功し転送が開始される。",,,"実機確認（鍵ペアの用意が必要）"
接続機能,SFTP接続,鍵認証,鍵ファイルなし,異常系,同値分割,"存在しないPrivateKeyPathを指定","アプリを起動する","起動時バリデーションで『秘密鍵ファイルが見つからない』エラー。終了コード1。",○,,
